"";"BE";"CDS.PP";"PCP.PEV";"PPD.PSD";"PS";"changes";"BE";"CDS.PP";"PCP.PEV";"PPD.PSD";"PS"
"1";Arcos de Valdevez;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"2";Caminha;4;4;3;2;1;PCP.PEV : { PPD.PSD ^ PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"3";Melgaco;4;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"4";Moncao;5;3;4;2;1;PCP.PEV : { CDS.PP ^ PPD.PSD ^ PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"5";Paredes de Coura;5;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"6";Ponte da Barca;4;4;3;2;1;PPD.PSD : { PS };5;4;3;1;2
"7";Ponte de Lima;5;1;4;2;3;PPD.PSD : { CDS.PP }  ^  PS : { CDS.PP };5;3;4;1;2
"8";Valenca;4;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"9";Viana do Castelo;5;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"10";Vila Nova de Cerveira;4;4;3;2;1;PPD.PSD : { PS };5;4;2.5;1;2.5
"11";Amares;5;2;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;3;1;2
"12";Barcelos;4;2;5;2;1;PCP.PEV : { BE ^ CDS.PP }  ^  PPD.PSD : { PS };5;4;3;1;2
"13";Esposende;5;3;4;1;2;PCP.PEV : { CDS.PP };5;4;3;1;2
"14";Terras de Bouro;5;2;4;2;1;CDS.PP : { PS }  ^  PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;3;2;1;4
"15";Vila Verde;5;3;4;1;2;PCP.PEV : { CDS.PP };5;4;3;1;2
"16";Cabeceiras de Basto;5;2;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;3;1;2
"17";Fafe;5;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"18";Guimaraes;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"19";Mondim de Basto;4;2;3;4;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { CDS.PP ^ PCP.PEV ^ PS };5;4;2;1;3
"20";Povoa de Lanhoso;5;3;4;1;2;PCP.PEV : { CDS.PP };5;4;3;1;2
"21";Vieira do Minho;5;1;4;1;3;PS : { CDS.PP ^ PPD.PSD };-1;-3;-2;-4;-5
"22";Vila Nova de Famalicao;5;1;4;1;3;PCP.PEV : { CDS.PP }  ^  PS : { CDS.PP };5;4;3;1;2
"23";Vizela;5;2;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;3;1;2
"24";Arouca;5;3;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;3;1;2
"25";Espinho;4;5;3;1;2;CDS.PP : { BE }  ^  PCP.PEV : { PS };5;4;2;1;3
"26";Gondomar;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"27";Maia;5;1;4;1;3;PCP.PEV : { CDS.PP ^ PPD.PSD ^ PS }  ^  PS : { CDS.PP };5;4;1;2.5;2.5
"28";Matosinhos;4;5;3;2;1;CDS.PP : { BE }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"29";Oliveira de Azemeis;5;3;4;1;2;PCP.PEV : { CDS.PP };5;4;3;1;2
"30";Paredes;5;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"31";Porto;4;5;3;2;1;CDS.PP : { BE }  ^  PCP.PEV : { PPD.PSD ^ PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"32";Santa Maria da Feira;4;5;3;1;2;CDS.PP : { BE };5;4;2.5;1;2.5
"33";Santo Tirso;5;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"34";Sao Joao da Madeira;5;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"35";Trofa;5;1;4;1;3;PCP.PEV : { CDS.PP }  ^  PS : { CDS.PP };5;4;3;1;2
"36";Vale de Cambra;5;1;4;2;3;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { CDS.PP }  ^  PS : { CDS.PP };5;4;2;1;3
"37";Valongo;4;5;3;2;1;CDS.PP : { BE ^ PCP.PEV };-1;-3;-2;-4;-5
"38";Vila do Conde;5;4;3;2;1;CDS.PP : { PCP.PEV }  ^  PPD.PSD : { PS };5;3;4;1;2
"39";Boticas;4;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"40";Chaves;5;4;3;1;2;PCP.PEV : { PPD.PSD ^ PS };5;4;1;2;3
"41";Montalegre;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"42";Ribeira de Pena;5;3;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"43";Valpacos;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"44";Vila Pouca de Aguiar;5;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"45";Amarante;5;1;4;1;3;PCP.PEV : { CDS.PP }  ^  PS : { CDS.PP };5;4;3;1;2
"46";Baiao;5;3;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;3;1;2
"47";Castelo de Paiva;5;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"48";Celorico de Basto;5;3;4;1;2;PCP.PEV : { CDS.PP };5;4;3;1;2
"49";Cinfaes;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"50";Felgueiras;5;3;4;1;2;PCP.PEV : { CDS.PP };5;4;3;1;2
"51";Lousada;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"52";Marco de Canaveses;4;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"53";Pacos de Ferreira;5;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"54";Penafiel;5;1;4;1;3;PS : { CDS.PP };5;3;4;1;2
"55";Resende;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
