Concelho;Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cid;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Total;Protec da qualidade do ar e clima;Gest de aguas residuais;Gestao de residuos;Protecao e recuperacao dos solos, de aguas subterraneas e superficiais;Protecao contra o ruido e vibracoes;Protecao da biodiversidade e paisagem;Outros dominios;Habitao;Outros fins;Total Custos;Violncia domstica contra cnjuge ou analogos;Furto em veiculo motorizado;Furto em residencia;Furto em edificio comercial ou industrial
Arcos de Valdevez;13872.0;0.0;1687.0;0.0;0.0;0.0;0.0;0.0;0.0;478.0;0.0;0.0;0.0;7837.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3870.0;0.0;0.0;0.0;b>a>c>d>e;43.2;0.0;0.0;26.2;0.0;0.0;16.4;152553.0;88721.0;63831.0;711.0;43.0;32.0;60.0
Caminha;10573.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;442.0;0.0;0.0;0.0;4930.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5201.0;0.0;0.0;0.0;a>b>c>d>e;74.9;0.0;0.0;74.9;0.0;0.0;0.0;125996.0;90126.0;35870.0;727.0;9.0;43.0;38.0
Melga•À_o;4855.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;129.0;0.0;0.0;0.0;1462.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3264.0;0.0;0.0;0.0;a>b>c>d>e;26.0;0.0;0.0;26.0;0.0;0.0;0.0;56505.0;31552.0;24953.0;258.0;9.0;4.0;15.0
Mon•À_•À_o;11909.0;0.0;2221.0;0.0;0.0;0.0;0.0;0.0;0.0;206.0;0.0;0.0;0.0;4739.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4743.0;0.0;0.0;0.0;b>a>c>d>e;30.7;0.0;0.0;30.7;0.0;0.0;0.0;152834.0;92330.0;60504.0;670.0;20.0;24.0;34.0
Paredes de Coura;6090.0;0.0;131.0;0.0;0.0;0.0;0.0;0.0;0.0;272.0;0.0;0.0;0.0;2308.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3379.0;0.0;0.0;0.0;b>a>c>d>e;39.9;0.0;0.0;28.2;0.0;0.0;11.6;70647.0;48202.0;22445.0;290.0;15.0;0.0;18.0
Ponte da Barca;8309.0;0.0;0.0;0.0;0.0;0.0;1438.0;0.0;0.0;132.0;0.0;0.0;0.0;2148.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4591.0;0.0;0.0;0.0;a>b>c>d>e;24.9;0.0;0.0;24.9;0.0;0.0;0.0;99891.0;75007.0;24884.0;481.0;16.0;18.0;41.0
Ponte de Lima;26276.0;0.0;14982.0;0.0;0.0;0.0;3325.0;0.0;0.0;1035.0;0.0;0.0;0.0;4374.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2560.0;0.0;0.0;0.0;b>a>c>d>e;36.3;0.0;0.0;23.3;0.0;0.0;13.0;239956.0;167979.0;71977.0;1281.0;83.0;27.0;50.0
Valen•À_a;8042.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;339.0;0.0;0.0;0.0;4871.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2832.0;0.0;0.0;0.0;a>b>c>d>e;55.7;0.0;0.0;53.4;0.0;0.0;2.3;190754.0;96500.0;94254.0;888.0;21.0;39.0;33.0
Viana do Castelo;42848.0;0.0;0.0;1991.0;0.0;0.0;0.0;0.0;650.0;4919.0;744.0;0.0;0.0;12361.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22183.0;0.0;0.0;0.0;c>a>b>d>e;37.0;0.0;0.0;0.0;0.0;0.0;37.0;1222874.0;707038.0;515835.0;2555.0;180.0;205.0;152.0
Vila Nova de Cerveira;5980.0;0.0;0.0;0.0;0.0;0.0;2807.0;0.0;0.0;78.0;0.0;0.0;0.0;570.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2525.0;0.0;0.0;0.0;a>b>c>d>e;54.9;0.0;0.0;38.8;0.0;0.0;16.1;96896.0;67390.0;29506.0;402.0;16.0;22.0;29.0
Amares;11377.0;0.0;0.0;0.0;0.0;0.0;3644.0;0.0;0.0;398.0;0.0;0.0;0.0;0.0;2907.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4428.0;0.0;0.0;0.0;a>b>c>d>e;28.5;0.0;0.0;24.8;0.0;0.3;3.4;110489.0;72791.0;37698.0;484.0;51.0;40.0;38.0
Barcelos;71209.0;1437.0;0.0;0.0;0.0;0.0;7589.0;0.0;0.0;1225.0;592.0;0.0;0.0;0.0;0.0;0.0;0.0;26061.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34305.0;0.0;0.0;0.0;a>b>c>d>e;23.4;0.0;0.0;21.2;0.0;0.0;0.7;1020442.0;658720.0;361722.0;2492.0;198.0;167.0;156.0
Braga;90617.0;0.0;0.0;0.0;0.0;0.0;5072.0;0.0;0.0;8355.0;1293.0;0.0;0.0;0.0;0.0;0.0;0.0;44571.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31326.0;0.0;0.0;0.0;a>b>c>d>e;10.7;0.0;0.0;0.0;0.0;0.0;10.7;3678848.0;1594314.0;2084535.0;6040.0;370.0;1091.0;306.0
Esposende;17663.0;0.0;2013.0;0.0;0.0;0.0;0.0;0.0;0.0;1001.0;0.0;0.0;0.0;10711.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3938.0;0.0;0.0;0.0;b>a>c>d>e;54.3;0.0;0.0;51.3;0.0;0.0;3.0;305905.0;209615.0;96290.0;1361.0;41.0;177.0;117.0
Terras de Bouro;5204.0;0.0;0.0;0.0;0.0;0.0;177.0;299.0;0.0;419.0;0.0;0.0;0.0;0.0;1555.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2754.0;0.0;0.0;0.0;a>b>c>d>e;35.8;0.0;0.0;28.4;0.0;0.0;7.2;35389.0;25411.0;9978.0;269.0;7.0;31.0;23.0
Vila Verde;27776.0;0.0;1104.0;0.0;0.0;0.0;0.0;0.0;0.0;629.0;0.0;0.0;0.0;13418.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12625.0;0.0;0.0;0.0;b>a>c>d>e;26.6;0.0;0.0;18.1;0.0;0.0;8.4;321741.0;213271.0;108469.0;1744.0;117.0;109.0;174.0
Cabeceiras de Basto;10968.0;0.0;0.0;0.0;0.0;0.0;4535.0;0.0;0.0;107.0;0.0;0.0;0.0;0.0;1355.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4971.0;0.0;0.0;0.0;a>b>c>d>e;25.7;0.0;0.0;25.7;0.0;0.0;0.0;113091.0;75498.0;37593.0;361.0;16.0;4.0;33.0
Fafe;30070.0;0.0;423.0;0.0;0.0;0.0;11008.0;0.0;0.0;928.0;0.0;0.0;0.0;6688.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11023.0;0.0;0.0;0.0;b>a>c>d>e;33.6;0.0;0.0;28.0;0.0;0.0;5.5;324774.0;221691.0;103084.0;1312.0;87.0;48.0;111.0
Guimar•À_es;83282.0;1788.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7285.0;496.0;0.0;0.0;0.0;0.0;31174.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;856.0;0.0;0.0;41683.0;0.0;0.0;0.0;a>b>c>d>e;25.0;0.0;0.0;23.1;0.0;0.0;1.9;1850971.0;937984.0;912988.0;3493.0;254.0;239.0;241.0
Mondim de Basto;4961.0;0.0;0.0;0.0;0.0;1890.0;0.0;0.0;0.0;34.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3008.0;0.0;0.0;0.0;e>a>b>c>d;34.5;0.0;0.0;34.5;0.0;0.0;0.0;62337.0;38926.0;23411.0;221.0;24.0;4.0;9.0
P•À_voa de Lanhoso;14789.0;0.0;646.0;0.0;0.0;0.0;0.0;0.0;0.0;209.0;0.0;0.0;0.0;7790.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6144.0;0.0;0.0;0.0;b>a>c>d>e;29.9;0.0;0.0;21.4;0.0;0.0;6.3;166922.0;122225.0;44697.0;715.0;28.0;44.0;36.0
Vieira do Minho;9771.0;69.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;134.0;0.0;0.0;0.0;0.0;5003.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4565.0;0.0;0.0;0.0;a>b>c>d>e;28.8;0.0;0.0;28.8;0.0;0.0;0.0;84836.0;69048.0;15788.0;533.0;23.0;13.0;35.0
Vila Nova de Famalic•À_o;73039.0;1237.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2823.0;0.0;0.0;0.0;0.0;44712.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24267.0;0.0;0.0;0.0;a>b>c>d>e;30.3;0.0;0.0;29.6;0.0;0.0;0.0;1446864.0;873874.0;572990.0;3391.0;320.0;178.0;249.0
Vizela;12175.0;406.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;616.0;0.0;0.0;0.0;0.0;5046.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6107.0;0.0;0.0;0.0;a>b>c>d>e;35.8;0.0;0.0;30.8;0.0;0.0;4.9;218972.0;150249.0;68723.0;881.0;47.0;33.0;23.0
Arouca;13295.0;0.0;726.0;0.0;0.0;0.0;0.0;0.0;0.0;390.0;0.0;0.0;0.0;3931.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8248.0;0.0;0.0;0.0;b>a>c>d>e;36.3;0.0;0.0;26.0;0.0;0.0;4.0;154391.0;102181.0;52210.0;470.0;18.0;11.0;32.0
Espinho;17873.0;641.0;460.0;0.0;0.0;0.0;0.0;0.0;0.0;1191.0;0.0;0.0;0.0;8993.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6588.0;0.0;0.0;0.0;a>b>c>d>e;37.4;0.0;0.0;37.4;0.0;0.0;0.0;419410.0;271798.0;147613.0;946.0;53.0;62.0;69.0
Gondomar;61370.0;2605.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8850.0;0.0;0.0;0.0;0.0;16114.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33801.0;0.0;0.0;0.0;a>b>c>d>e;39.0;0.0;0.0;36.0;0.0;0.0;2.9;1091095.0;774519.0;316576.0;4100.0;378.0;454.0;235.0
Maia;51052.0;3412.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4413.0;0.0;0.0;0.0;0.0;28629.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14598.0;0.0;0.0;0.0;a>b>c>d>e;30.3;0.1;0.0;23.7;2.4;0.1;2.2;1726359.0;1106754.0;619605.0;4384.0;245.0;485.0;266.0
Matosinhos;67445.0;2623.0;1409.0;0.0;0.0;0.0;32014.0;0.0;0.0;5396.0;0.0;0.0;0.0;6869.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18629.0;0.0;0.0;505.0;a>b>c>d>e;91.8;0.7;0.0;70.2;0.6;1.4;17.4;1835591.0;1289358.0;546233.0;6083.0;420.0;926.0;255.0
Oliveira de Azem•À_is;32123.0;702.0;2532.0;0.0;0.0;0.0;0.0;0.0;0.0;977.0;0.0;0.0;0.0;14298.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13614.0;0.0;0.0;0.0;b>a>c>d>e;23.2;0.0;0.0;23.1;0.0;0.1;0.0;579294.0;324193.0;255100.0;1419.0;152.0;53.0;134.0
Paredes;43739.0;816.0;1721.0;0.0;0.0;0.0;0.0;0.0;0.0;2983.0;0.0;0.0;0.0;19146.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19073.0;0.0;0.0;0.0;b>a>c>d>e;29.7;0.0;0.0;26.4;0.0;0.0;1.7;835658.0;487764.0;347894.0;2620.0;203.0;156.0;118.0
Porto;110596.0;4166.0;0.0;0.0;0.0;0.0;46666.0;0.0;0.0;8539.0;343.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24366.0;0.0;0.0;0.0;0.0;26237.0;0.0;0.0;279.0;a>b>c>d>e;133.7;0.0;0.0;101.2;0.0;0.7;29.7;21400343.0;9476204.0;11924140.0;15638.0;937.0;2833.0;667.0
P•À_voa de Varzim;27560.0;670.0;4021.0;0.0;0.0;0.0;0.0;0.0;0.0;1054.0;344.0;0.0;0.0;13567.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7904.0;0.0;0.0;0.0;b>a>c>d>e;62.7;0.0;0.0;62.7;0.0;0.0;0.0;744614.0;489170.0;255445.0;1573.0;162.0;89.0;136.0
