;Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cidadãos;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Total;Violência doméstica contra cônjuge ou análogos;Furto em veículo motorizado;Furto em residência;Furto em edifício comercial ou industrial
Arcos de Valdevez;13872.0;0.0;1687.0;0.0;0.0;0.0;0.0;0.0;0.0;478.0;0.0;0.0;0.0;7837.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3870.0;0.0;0.0;0.0;711.0;43.0;32.0;60.0;6.0
Caminha;10573.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;442.0;0.0;0.0;0.0;4930.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5201.0;0.0;0.0;0.0;727.0;9.0;43.0;38.0;14.0
Melgaço;4855.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;129.0;0.0;0.0;0.0;1462.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3264.0;0.0;0.0;0.0;258.0;9.0;4.0;15.0;3.0
Monção;11909.0;0.0;2221.0;0.0;0.0;0.0;0.0;0.0;0.0;206.0;0.0;0.0;0.0;4739.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4743.0;0.0;0.0;0.0;670.0;20.0;24.0;34.0;20.0
Paredes de Coura;6090.0;0.0;131.0;0.0;0.0;0.0;0.0;0.0;0.0;272.0;0.0;0.0;0.0;2308.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3379.0;0.0;0.0;0.0;290.0;15.0;0.0;18.0;0.0
Ponte da Barca;8309.0;0.0;0.0;0.0;0.0;0.0;1438.0;0.0;0.0;132.0;0.0;0.0;0.0;2148.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4591.0;0.0;0.0;0.0;481.0;16.0;18.0;41.0;3.0
Ponte de Lima;26276.0;0.0;14982.0;0.0;0.0;0.0;3325.0;0.0;0.0;1035.0;0.0;0.0;0.0;4374.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2560.0;0.0;0.0;0.0;1281.0;83.0;27.0;50.0;37.0
Valença;8042.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;339.0;0.0;0.0;0.0;4871.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2832.0;0.0;0.0;0.0;888.0;21.0;39.0;33.0;38.0
Viana do Castelo;42848.0;0.0;0.0;1991.0;0.0;0.0;0.0;0.0;650.0;4919.0;744.0;0.0;0.0;12361.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22183.0;0.0;0.0;0.0;2555.0;180.0;205.0;152.0;104.0
Vila Nova de Cerveira;5980.0;0.0;0.0;0.0;0.0;0.0;2807.0;0.0;0.0;78.0;0.0;0.0;0.0;570.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2525.0;0.0;0.0;0.0;402.0;16.0;22.0;29.0;12.0
