;;BE;CDS.PP;PCP.PEV;PPD.PSD;PS;changes;BE;CDS.PP;PCP.PEV;PPD.PSD;PS
1;Arcos de Valdevez;5;3;4;1;2;none;NA;1;1;-1;NA
2;Caminha;4;4;3;2;1;none;1;NA;-1;NA;-1
3;Melgaco;4;4;3;2;1;none;1;NA;1;-1;NA
4;Moncao;5;3;4;2;1;none;1;NA;-1;NA;-1
5;Paredes de Coura;5;4;3;2;1;none;1;NA;1;NA;-1
6;Ponte da Barca;4;4;3;2;1;none;1;NA;1;-1;NA
7;Ponte de Lima;5;1;4;2;3;none;1;NA;1;NA;-1
8;Valenca;4;4;3;1;2;none;1;1;NA;NA;-1
9;Viana do Castelo;5;4;3;2;1;none;1;NA;NA;-1;-1
10;Vila Nova de Cerveira;4;4;3;2;1;none;1;NA;-1;NA;-1
11;Amares;5;2;4;2;1;none;1;NA;NA;-1;-1
12;Barcelos;4;2;5;2;1;none;1;NA;NA;-1;-1
13;Braga;5;1;4;1;3;none;1;NA;NA;-1;-1
14;Esposende;5;3;4;1;2;none;1;NA;NA;-1;-1
15;Terras de Bouro;5;2;4;2;1;none;1;NA;-1;NA;-1
16;Vila Verde;5;3;4;1;2;none;1;NA;1;NA;-1
17;Cabeceiras de Basto;5;2;4;2;1;none;1;NA;1;NA;-1
18;Fafe;5;4;3;2;1;none;1;NA;NA;-1;-1
19;Guimaraes;5;2;4;2;1;none;1;NA;-1;NA;-1
20;Mondim de Basto;4;2;3;4;1;none;1;NA;-1;NA;-1
21;Povoa de Lanhoso;5;3;4;1;2;none;1;NA;1;NA;-1
22;Vieira do Minho;5;1;4;1;3;none;1;NA;-1;NA;-1
23;Vila Nova de Famalicao;5;1;4;1;3;none;1;NA;-1;NA;-1
24;Vizela;5;2;4;2;1;none;1;NA;-1;NA;-1
25;Arouca;5;3;4;2;1;none;1;NA;1;NA;-1
26;Espinho;4;5;3;1;2;none;1;NA;NA;-1;-1
27;Gondomar;5;2;4;2;1;none;1;NA;NA;-1;-1
28;Maia;5;1;4;1;3;none;1;NA;NA;-1;-1
29;Matosinhos;4;5;3;2;1;none;1;NA;-1;-1;NA
30;Oliveira de Azemeis;5;3;4;1;2;none;1;NA;1;-1;-1
31;Paredes;5;4;3;1;2;none;1;NA;NA;-1;-1
32;Porto;4;5;3;2;1;none;1;NA;1;NA;-1
33;Povoa de Varzim;5;3;4;1;2;none;1;NA;-1;NA;-1
34;Santa Maria da Feira;4;5;3;1;2;none;1;NA;-1;NA;-1
35;Santo Tirso;5;4;3;2;1;none;1;NA;-1;NA;-1
36;Sao Joao da Madeira;5;4;3;1;2;none;1;NA;NA;-1;-1
37;Trofa;5;1;4;1;3;none;1;NA;-1;NA;-1
38;Vale de Cambra;5;1;4;2;3;none;1;NA;-1;NA;-1
39;Valongo;4;5;3;2;1;none;1;NA;NA;-1;-1
40;Vila do Conde;5;4;3;2;1;none;1;NA;NA;-1;-1
41;Vila Nova de Gaia;5;2;4;2;1;none;1;NA;NA;-1;-1
42;Boticas;4;4;3;1;2;none;1;NA;NA;NA;-1
43;Chaves;5;4;3;1;2;none;1;NA;-1;NA;-1
44;Montalegre;5;2;4;2;1;none;1;NA;NA;NA;-1
45;Ribeira de Pena;5;3;4;2;1;none;NA;1;1;-1;NA
