;;Resultados 2017;;;;;diff;changes from 2013;Previsoes;;;;
;Municipios;BE;CDS.PP;PCP.PEV;PPD.PSD;PS;;none;BE;CDS.PP;PCP.PEV;PPD.PSD;PS
1;Arcos de Valdevez;5;3;4;1;2;none;none;NA;1;1;-1;NA
2;Caminha;5;4;3;2;1;none;none;1;NA;-1;NA;-1
3;Melgaco;3;3;2;3;1;PPD.PSD : { PCP.PEV };none;1;NA;1;-1;NA
4;Moncao;5;3;4;1;2;none;none;1;NA;-1;NA;-1
5;Paredes de Coura;4;4;3;2;1;none;none;1;NA;1;NA;-1
6;Ponte da Barca;5;4;3;1;2;none;none;1;NA;1;-1;NA
7;Ponte de Lima;4;1;3;2;4;PS : { PCP.PEV };none;1;NA;1;NA;-1
8;Valenca;5;4;3;1;2;none;none;1;1;NA;NA;-1
9;Viana do Castelo;4;5;3;2;1;none;none;1;NA;NA;-1;-1
10;Vila Nova de Cerveira;3;3;2;3;1;none;none;1;NA;-1;NA;-1
11;Amares;3;3;2;3;1;none;none;1;NA;NA;-1;-1
12;Barcelos;2;4;3;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
13;Braga;3;4;2;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
14;Esposende;5;3;4;1;2;none;none;1;NA;NA;-1;-1
15;Terras de Bouro;4;4;3;1;2;none;none;1;NA;-1;NA;-1
16;Vila Verde;5;3;4;1;2;none;none;1;NA;1;NA;-1
17;Cabeceiras de Basto;3;3;2;3;1;none;none;1;NA;1;NA;-1
18;Fafe;3;4;2;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
19;Guimaraes;3;4;2;4;1;none;none;1;NA;-1;NA;-1
20;Mondim de Basto;5;2;4;3;1;none;none;1;NA;-1;NA;-1
21;Povoa de Lanhoso;4;4;3;1;2;none;none;1;NA;1;NA;-1
22;Vieira do Minho;3;3;2;3;1;none;none;1;NA;-1;NA;-1
23;Vila Nova de Famalicao;3;4;2;4;1;none;none;1;NA;-1;NA;-1
24;Vizela;3;4;2;4;1;none;none;1;NA;-1;NA;-1
25;Arouca;3;3;2;3;1;none;none;1;NA;1;NA;-1
26;Espinho;5;4;3;1;2;none;none;1;NA;NA;-1;-1
27;Gondomar;3;4;2;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
28;Maia;1;3;2;3;3;PPD.PSD : { BE }  ^  PS : { BE };none;1;NA;NA;-1;-1
29;Matosinhos;4;5;3;2;1;none;none;1;NA;-1;-1;NA
30;Oliveira de Azemeis;4;3;5;2;1;none;none;1;NA;1;-1;-1
31;Paredes;5;3;4;2;1;none;none;1;NA;NA;-1;-1
32;Porto;3;4;2;4;1;none;none;1;NA;1;NA;-1
33;Povoa de Varzim;4;3;5;1;2;PCP.PEV : { BE };none;1;NA;-1;NA;-1
34;Santa Maria da Feira;4;3;5;1;2;PCP.PEV : { BE };none;1;NA;-1;NA;-1
35;Santo Tirso;3;3;2;3;1;none;none;1;NA;-1;NA;-1
36;Sao Joao da Madeira;3;4;2;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
37;Trofa;3;3;2;3;1;none;none;1;NA;-1;NA;-1
38;Vale de Cambra;5;1;4;2;3;none;none;1;NA;-1;NA;-1
39;Valongo;3;4;2;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
40;Vila do Conde;3;4;2;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
41;Vila Nova de Gaia;2;4;3;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
42;Boticas;4;4;3;1;2;none;none;1;NA;NA;NA;-1
43;Chaves;5;4;3;2;1;none;none;1;NA;-1;NA;-1
44;Montalegre;3;3;2;3;1;none;none;1;NA;NA;NA;-1
45;Ribeira de Pena;5;3;4;2;1;none;none;NA;1;1;-1;NA
46;Valpacos;5;3;4;1;2;none;none;1;NA;NA;NA;-1
47;Vila Pouca de Aguiar;5;3;4;1;2;none;none;NA;1;NA;-1;-1
